Key,File,Type,english,russian

cntDewCollector,blocks,block,Well,Колодец
dewCollectorDesc,blocks,block,"Accumulates relatively clean water from the water-bearing layers of the soil.\nCollected water should be boiled or filtered.\n\nRepair with Scrap Polymers and Wood.","Со временем накапливает относительно чистую воду из водносных слоёв почвы.\nСобранную воду необходимо кипятить или фильтровать.\n\nРемонтируется с помощью синтетического мусора и дерева."
xuiDewCollector,UI,XUI,Well,Колодец
plantedWheat1,blocks,Farming,Wheat (Seed),Пшеница (семя)
plantedWheat3Harvest,blocks,Farming,Wheat (POI),Пшеница 3 (важный объект)
plantedWheat3HarvestDesc,blocks,Farming,Wheat Plant,Растение «Пшеница»
plantedWheatHarvestRandomHelper,blocks,Farming,= Wheat = Random Helper,= Пшеница = Случайный помощник
resourceCropWheatPlant,items,Farming,Wheat,Пшеница
resourceCropWheatPlantDesc,items,Farming,"Wheat can be used to make flour, which is used for cooking.","Из пшеницы можно сделать муку, которая используется при приготовлении различных блюд."
