Key,English,Russian

ammoTicket,Ammo Ticket,"Купон на боеприпасы"
ammoTicketDesc,"Rewarded for successfully surviving the challenge.","Награда за успешное прохождение испытания."

challenge1Zombie,"Испытание 01: Провинциальные девушки","Испытание 01: Провинциальные девушки"
challenge1ZombieDesc,"Испытание: Провинциальные девушки.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Провинциальные девушки.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge1ZombieName,"Провинциальные девушки","Провинциальные девушки"
challenge1ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge1ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Гнилая девушка - [228B22]5 \n[CD7F32]Разлагающаяся мать - [228B22]5 \n[CD7F32]Покойница - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Гнилая девушка - [228B22]5 \n[CD7F32]Разлагающаяся мать - [228B22]5 \n[CD7F32]Покойница - [228B22]5"

challenge2Zombie,"Испытание 02: Знойные мужчины","Испытание 02: Знойные мужчины"
challenge2ZombieDesc,"Испытание: Знойные мужчины.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Знойные мужчины.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge2ZombieName,"Знойные мужчины","Знойные мужчины"
challenge2ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge2ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Зараженный выживший - [228B22]5 \n[CD7F32]Гнойный труп - [228B22]5 \n[CD7F32]Распухший ходок - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Зараженный выживший - [228B22]5 \n[CD7F32]Гнойный труп - [228B22]5 \n[CD7F32]Распухший ходок - [228B22]5"

challenge3Zombie,"Испытание 03: Эх, молодёжь...","Испытание 03: Эх, молодёжь..."
challenge3ZombieDesc,"Испытание: Эх, молодёжь...\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Эх, молодёжь...\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge3ZombieName,"Эх, молодёжь...","Эх, молодёжь..."
challenge3ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge3ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Зараженный выживший - [228B22]5 \n[CD7F32]Скейтер-зомби - [228B22]5 \n[CD7F32]Том Кларк - [228B22]5 \n[CD7F32]Оживший труп - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Зараженный выживший - [228B22]5 \n[CD7F32]Скейтер-зомби - [228B22]5 \n[CD7F32]Том Кларк - [228B22]5 \n[CD7F32]Оживший труп - [228B22]5"

challenge4Zombie,"Испытание 04: Девочки хотят развлечься","Испытание 04: Девочки хотят развлечься"
challenge4ZombieDesc,"Испытание: Девочки хотят развлечься.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Девочки хотят развлечься.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge4ZombieName,"Девочки хотят развлечься","Девочки хотят развлечься"
challenge4ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge4ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Тусовщица - [228B22]15","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Тусовщица - [228B22]15"

challenge5Zombie,"Испытание 05: Трудяги-работяги","Испытание 05: Трудяги-работяги"
challenge5ZombieDesc,"Испытание: Трудяги-работяги.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Трудяги-работяги.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge5ZombieName,"Трудяги-работяги","Трудяги-работяги"
challenge5ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge5ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Разнорабочий-зомби - [228B22]5 \n[CD7F32]Уборщик - [228B22]5 \n[CD7F32]Лесоруб-зомби - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Разнорабочий-зомби - [228B22]5 \n[CD7F32]Уборщик - [228B22]5 \n[CD7F32]Лесоруб-зомби - [228B22]5"

challenge6Zombie,"Испытание 06: Дикие и не особо симпатичные","Испытание 06: Дикие и не особо симпатичные"
challenge6ZombieDesc,"Испытание: Дикие и не особо симпатичные.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков.","Испытание: Дикие и не особо симпатичные.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков."
challenge6ZombieName,"Дикие и не особо симпатичные","Дикие и не особо симпатичные"
challenge6ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge6ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Байкер - [228B22]5 \n[CD7F32]Разлагающаяся туша - [228B22]5 \n[CD7F32]Паук - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Байкер - [228B22]5 \n[CD7F32]Разлагающаяся туша - [228B22]5 \n[CD7F32]Паук - [228B22]5"

challenge7Zombie,"Испытание 07: Хочу больших!","Испытание 07: Хочу больших!"
challenge7ZombieDesc,"Испытание: Хочу больших!\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!","Испытание: Хочу больших!\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge7ZombieName,"Хочу больших!","Хочу больших!"
challenge7ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge7ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Потревоженный турист - [228B22]5 \n[CD7F32]Зараженный коп - [228B22]5 \n[CD7F32]Толстуха - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Потревоженный турист - [228B22]5 \n[CD7F32]Зараженный коп - [228B22]5 \n[CD7F32]Толстуха - [228B22]5"

challenge8Zombie,"Испытание 08: Сила науки","Испытание 08: Сила науки"
challenge8ZombieDesc,"Испытание: Сила науки\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Сила науки\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge8ZombieName,"Сила науки","Сила науки"
challenge8ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge8ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Ликвидатор - [228B22]5 \n[CD7F32]Лаборант-зомби - [228B22]5 \n[CD7F32]Чумная санитарка - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Ликвидатор - [228B22]5 \n[CD7F32]Лаборант-зомби - [228B22]5 \n[CD7F32]Чумная санитарка - [228B22]5"

challenge9Zombie,"Испытание 09: Как же я люблю природу","Испытание 09: Как же я люблю природу"
challenge9ZombieDesc,"Испытание: Как же я люблю природу.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Как же я люблю природу.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge9ZombieName,"Как же я люблю природу","Как же я люблю природу"
challenge9ZombieSubtitle,"Find and kill specified animals","Найдите и убейте животных из списка"
challenge9ZombieOffer,"Найдите и убейте животных из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Зомби-стервятник - [228B22]5 \n[CD7F32]Зомби-собака - [228B22]5 \n[CD7F32]Змея - [228B22]5","Найдите и убейте животных из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Зомби-стервятник - [228B22]5 \n[CD7F32]Зомби-собака - [228B22]5 \n[CD7F32]Змея - [228B22]5"

challenge10Zombie,"Испытание 10: Ты должен был сражаться со злом","Испытание 10: Ты должен был сражаться со злом"
challenge10ZombieDesc,"Испытание: Ты должен был сражаться со злом.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Ты должен был сражаться со злом.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge10ZombieName,"Ты должен был сражаться со злом","Ты должен был сражаться со злом"
challenge10ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge10ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Солдат - [228B22]5 \n[CD7F32]Дикий коп - [228B22]3 \n[CD7F32]Дикий солдат - [228B22]2 \n[CD7F32]Зараженный коп - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Солдат - [228B22]5 \n[CD7F32]Дикий коп - [228B22]3 \n[CD7F32]Дикий солдат - [228B22]2 \n[CD7F32]Зараженный коп - [228B22]5"

challenge11Zombie,"Испытание 11: Дамы на свободе","Испытание 11: Дамы на свободе"
challenge11ZombieDesc,"Испытание: Дамы на свободе.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Дамы на свободе.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge11ZombieName,"Дамы на свободе","Дамы на свободе"
challenge11ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge11ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикая гнилая девушка - [228B22]5 \n[CD7F32]Дикая мать - [228B22]5 \n[CD7F32]Дикая покойница - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикая гнилая девушка - [228B22]5 \n[CD7F32]Дикая мать - [228B22]5 \n[CD7F32]Дикая покойница - [228B22]5"

challenge12Zombie,"Испытание 12: Изменения в геноме происходят год от года","Испытание 12: Изменения в геноме происходят год от года"
challenge12ZombieDesc,"Испытание: Изменения в геноме происходят год от года.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Изменения в геноме происходят год от года.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge12ZombieName,"Изменения в геноме происходят год от года","Изменения в геноме происходят год от года"
challenge12ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge12ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Мутант - [228B22]5 \n[CD7F32]Крикуша - [228B22]5 \n[CD7F32]Тлеющий зомби - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Мутант - [228B22]5 \n[CD7F32]Крикуша - [228B22]5 \n[CD7F32]Тлеющий зомби - [228B22]5"

challenge13Zombie,"Испытание 13: Агрессивные продажи","Испытание 13: Агрессивные продажи"
challenge13ZombieDesc,"Испытание: Агрессивные продажи\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Агрессивные продажи\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge13ZombieName,"Агрессивные продажи","Агрессивные продажи"
challenge13ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge13ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий бизнесмен - [228B22]5 \n[CD7F32]Дикий разнорабочий-зомби - [228B22]5 \n[CD7F32]Дикая туша - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий бизнесмен - [228B22]5 \n[CD7F32]Дикий разнорабочий-зомби - [228B22]5 \n[CD7F32]Дикая туша - [228B22]5"

challenge14Zombie,"Испытание 14: Такие девушки, как звёзды","Испытание 14: Такие девушки, как звёзды"
challenge14ZombieDesc,"Испытание: Такие девушки, как звёзды.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Такие девушки, как звёзды.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge14ZombieName,"Такие девушки, как звёзды","Такие девушки, как звёзды"
challenge14ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge14ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Безумная тусовщица - [228B22]15","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Безумная тусовщица - [228B22]15"

challenge15Zombie,"Испытание 15: Надежда на ветчину","Испытание 15: Надежда на ветчину"
challenge15ZombieDesc,"Испытание: Надежда на ветчину.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Надежда на ветчину.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge15ZombieName,"Надежда на ветчину","Надежда на ветчину"
