Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntSecureStorageChestLarge,,,,,"Large Secure Chest [ddcdfa](168)",,"Gesicherte Aufbewahrungstruhe [ddcdfa](168)","Cofre de almacenamiento seguro [ddcdfa](168)","Coffre de rangement sécurisé [ddcdfa](168)","Forziere di stoccaggio sicuro [ddcdfa](168)","鍵付き保管チェスト [ddcdfa](168)","보안 물품 보관 상자 [ddcdfa](168)","Bezpieczna skrzynia na rzeczy [ddcdfa](168)","Baú de Armazenamento Seguro [ddcdfa](168)","Сундук для хранения с кодовым замком [ddcdfa](168)","Emniyetli Saklama Sandığı [ddcdfa](168)","安全储物箱 [ddcdfa](168)","安全儲物箱 [ddcdfa](168)"
cntStorageChestLarge,,,,,"Large Insecure Chest [ddcdfa](168)",,"Aufbewahrungstruhe [ddcdfa](168)","Cofre de almacenamiento [ddcdfa](168)","Coffre de rangement [ddcdfa](168)","Forziere portaoggetti [ddcdfa](168)","保管チェスト [ddcdfa](168)","보관용 상자 [ddcdfa](168)","Skrzynia na rzeczy [ddcdfa](168)","Baú de Armazenamento [ddcdfa](168)","Сундук для хранения [ddcdfa](168)","Saklama Sandığı [ddcdfa](168)","储物箱 [ddcdfa](168)","儲物箱 [ddcdfa](168)"
cntStorageGenericInsecureLarge,,,,,"Large Insecure Storage [ddcdfa](168)",,"Aufbewahrungskiste [ddcdfa](168)","Caja de almacenamiento [ddcdfa](168)","Caisse de rangement [ddcdfa](168)","Scatola portaoggetti [ddcdfa](168)","保管ボックス [ddcdfa](168)","보관함 [ddcdfa](168)","Pudło na rzeczy [ddcdfa](168)","Caixa de Armazenamento [ddcdfa](168)","Коробка для хранения [ddcdfa](168)","Saklama Kutusu [ddcdfa](168)","储物盒 [ddcdfa](168)","儲物盒 [ddcdfa](168)"
cntStorageGenericLarge,,,,,"Large Secure Storage [ddcdfa](168)",,"Aufbewahrungskiste [ddcdfa](168)","Caja de almacenamiento [ddcdfa](168)","Caisse de rangement [ddcdfa](168)","Scatola portaoggetti [ddcdfa](168)","保管ボックス [ddcdfa](168)","보관함 [ddcdfa](168)","Pudło na rzeczy [ddcdfa](168)","Caixa de Armazenamento [ddcdfa](168)","Коробка для хранения [ddcdfa](168)","Saklama Kutusu [ddcdfa](168)","储物盒 [ddcdfa](168)","儲物盒 [ddcdfa](168)"
cntStorageGenericSignedInsecureLarge,,,,,"Large Insecure Writable Storage [ddcdfa](168)",,"Beschreibbare Aufbewahrungskiste – unsicher [ddcdfa](168)","Caja de almacenamiento grabable no segura [ddcdfa](168)","Caisse de rangement inscriptible non sécurisée [ddcdfa](168)","Scatola portaoggetti scrivibile precaria [ddcdfa](168)","書き込み可能な保管ボックス（不安定） [ddcdfa](168)","메모 가능한 보관함 잠기지 않음 [ddcdfa](168)","Pudło na rzeczy z etykietką — niezabezpieczone [ddcdfa](168)","Caixa de armazenamento inscritível insegura [ddcdfa](168)","Ненадежная коробка для хранения с надписью [ddcdfa](168)","Emniyetsiz Yazılabilir Saklama Kutusu [ddcdfa](168)","不结实的可写字的储物箱 [ddcdfa](168)","可書寫儲物盒未密封 [ddcdfa](168)"
cntStorageGenericSignedLarge,,,,,"Large Secure Writable Storage [ddcdfa](168)",,"Beschreibbare Aufbewahrungskiste [ddcdfa](168)","Caja de almacenamiento grabable [ddcdfa](168)","Caisse de rangement inscriptible. [ddcdfa](168)","Scatola portaoggetti scrivibile [ddcdfa](168)","書き込み可能な保管ボックス [ddcdfa](168)","보관함(메모 기입용) [ddcdfa](168)","Pudło na rzeczy z etykietką [ddcdfa](168)","Caixa de armazenamento inscritível [ddcdfa](168)","Коробка для хранения с надписью [ddcdfa](168)","Yazılabilir Saklama Kutusu [ddcdfa](168)","可写字的储物箱 [ddcdfa](168)","可書寫儲物盒 [ddcdfa](168)"
perkPackMuleRank1LongDesc,progression,perk Str,,,"Who has time to organize their stuff perfectly? Carry [DECEA3]30[-] more items without being encumbered.",,"Wer hat schon Zeit, das ganze Zeug schön zu ordnen? Du kannst [DECEA3]7[-] Gegenstände mehr tragen, bevor du überbelastet wirst.","¿Quién tiene tiempo para organizar sus cosas perfectamente? Lleva [DECEA3]7[-] artículos más sin desbordarte.","Qui a le temps de ranger toutes ses affaires à la perfection ? Vous portez [DECEA3]7[-] objets supplémentaires sans souffrir d'encombrement.","Chi ha tempo di organizzare le proprie cose alla perfezione? Trasporta [DECEA3]7[-] oggetti in più senza diventare sovraccarico.","完璧に整理整頓する暇なんて誰にあるのでしょう？動きが阻害されることなく、アイテムを[DECEA3]7[-]つ多く運べる。","자기들 물건을 완벽히 정리할 수 있는 시간을 누가 가졌겠어요? 방해받지 않고 [DECEA3]7[-]개 더 많은 아이템을 소지할 수 있습니다.","Kto niby ma czas na porządki? Noś [DECEA3]7[-] dodatkowe przedmioty bez przeciążenia.","Quem tem tempo para organizar as coisas perfeitamente? Carregue mais [DECEA3]7[-] itens sem ficar sobrecarregado.","У нормальных людей нет времени складывать свои вещи аккуратно. Вы можете нести еще [DECEA3]30[-] предметов без последствий.","Eşyalarını düzenli tutmaya kimin zamanı var ki? Yükün ağır gelmeden [DECEA3]7[-] öğe daha fazla taşı.","谁有时间把自己的东西整理得完美无缺？负重不受影响，再携带[DECEA3]7[-]样东西。","誰有時間把他們他們的東西整理好？再帶[DECEA3]7[-]樣東西而不會負重。"
perkPackMuleRank2LongDesc,progression,perk Str,,,"You know it's in there somewhere. Carry an additional [DECEA3]30[-] more items without being encumbered.",,"Du weißt, dass es irgendwo da drin ist. Du kannst [DECEA3]7[-] weitere Gegenstände tragen, bevor du überbelastet wirst.","Sabes que está en alguna parte. Lleva otros [DECEA3]7[-] artículos más sin desbordarte.","Vous savez bien que ça doit se trouver quelque part là-dedans. Vous portez à nouveau [DECEA3]7[-] objets supplémentaires sans souffrir d'encombrement.","Sai che è lì da qualche parte. Trasporta altri [DECEA3]7[-] oggetti in più senza diventare sovraccarico.","中に入っていることは分かってるんです。動きが阻害されることなく、アイテムをさらに[DECEA3]7[-]つ多く運べる。","저 안에 무언가 있다는 걸 알고 있겠죠. 방해받지 않고 추가로 [DECEA3]7[-]개 더 많은 아이템을 소지할 수 있습니다.","Przed chwilą mignęło mi przed oczami! Możesz nosić dodatkowo [DECEA3]7[-] przedmioty bez przeciążenia.","Você sabe que está em algum lugar aí dentro. Carregue mais [DECEA3]7[-] itens sem ficar sobrecarregado.","Вы знаете, что эта штука где-то здесь. Вы можете нести [DECEA3]30[-] дополнительных предметов без последствий.","Şurada bir yerde olduğundan eminsin. Yükün ağır gelmeden [DECEA3]7[-] öğe daha taşı.","你知道它就在某个地方。负重不受影响，再携带额外[DECEA3]7[-]样东西。","你知道它就在某個地方。再帶[DECEA3]7[-]樣東西而不會負重。"
perkPackMuleRank3LongDesc,progression,perk Str,,,"You know exactly where everything is. Carry [DECEA3]30[-] additional items without being encumbered.",,"Du weißt genau, wo du was findest. Du kannst Du [DECEA3]7[-] Gegenstände mehr tragen, bevor du überbelastet wirst.","Sabes exactamente dónde está todo. Lleve [DECEA3]7[-] artículos adicionales sin ser gravados.","Vous savez où chaque chose est rangée. Vous portez [DECEA3]7[-] objets supplémentaires sans souffrir d'encombrement.","Sai esattamente dove si trova ogni cosa. Trasporta [DECEA3]7[-] oggetti in più senza diventare sovraccarico.","何がどこにあるのかちゃんと把握しています。動きが阻害されることなく、アイテムをさらに[DECEA3]7[-]つ多く運べる。","어디에 무엇이 있는지 정확히 알고 계시군요. 방해받지 않고 추가로 [DECEA3]7[-]개 더 많은 아이템을 소지할 수 있습니다.","Doskonale wiesz, gdzie co jest. Noś [DECEA3]7[-] dodatkowe przedmioty bez przeciążenia.","Você sabe exatamente onde tudo está. Carregue mais [DECEA3]30[-] itens sem ficar sobrecarregado.","Вы отлично знаете, что где лежит. Вы можете нести [DECEA3]30[-] дополнительных предметов без последствий.","Her şeyin yerini iyi biliyorsun. Yükün ağır gelmeden ek [DECEA3]7[-] öğe taşı.","你知道所有东西的确切位置。负重不受影响，再携带额外[DECEA3]7[-]样东西。","你準確知道東西在哪裏。再帶[DECEA3]7[-]樣東西而不會負重。"
perkPackMuleRank4LongDesc,progression,perk Str,,,"You just passed inspection, private. Carry [DECEA3]40[-] more items without being encumbered.",,"Inspektion bestanden, Soldat.  Du kannst [DECEA3]7[-] weitere Gegenstände tragen, bevor du überbelastet wirst.","Acabas de pasar la inspección en privado.  Lleva [DECEA3]7[-] artículos más sin desbordarte.","Vous venez juste de réussir votre inspection privée.  Vous portez [DECEA3]7[-] objets supplémentaires sans souffrir d'encombrement.","Hai passato l'ispezione, soldato.  Trasporta altri [DECEA3]7[-] oggetti senza diventare sovraccarico.","荷物点検に合格しました。動きが阻害されることなく、アイテムを[DECEA3]7[-]つ多く運べる。","방금 개인 검사를 통과했습니다.  방해받지 않고 [DECEA3]7[-]개 더 많은 아이템을 소지할 수 있습니다.","Kontrola przeszła pozytywnie, żołnierzu.  Noś kolejne [DECEA3]7[-] przedmioty bez przeciążenia.","Tudo em ordem.  Carregue mais [DECEA3]7[-] itens sem ficar sobrecarregado.","Вы только что прошли проверку, рядовой.  Вы можете нести еще [DECEA3]40[-] предметов без последствий.","Denetimi başarıyla geçtin asker.  Yükün ağır gelmeden [DECEA3]7[-] öğe daha fazla taşı.","你刚刚通过了私人检查。负重不受影响，再携带[DECEA3]7[-]样东西。","你剛通過私人檢查。再帶[DECEA3]7[-]樣東西而不會負重。"
