Key,File,Type,UsedInMainMenu,NoTranslate,English,russian
buffHealProteinANBName,buffs,buff,,,"Recovering protein","Уровень белков растёт"
buffHealProteinANBDesc,buffs,buff,,,"You've eaten food high in protein and are recovering nutrition.","Вы употребили еду с высоким содержанием белков. Организм восстанавливается."
buffHealCarbsANBName,buffs,buff,,,"Recovering carbs","Уровень углеводов растёт"
buffHealCarbsANBDesc,buffs,buff,,,"You've eaten food high in carbs and are recovering nutrition.","Вы употребили еду с высоким содержанием углеводов. Организм восстанавливается."
buffHealGreensANBName,buffs,buff,,,"Recovering micronutrients","Уровень микроэлементов растёт"
buffHealGreensANBDesc,buffs,buff,,,"You've eaten fruits or vegetables and are recovering nutrition.","Вы употребили фрукты и овощи. Организм восстанавливается."
statProteinAmount,ui_display,Item stat,,,"Nutrition: Protein","Питание: Белки"
statCarbsAmount,ui_display,Item stat,,,"Nutrition: Carbs","Питание: Углеводы"
statGreensAmount,ui_display,Item stat,,,"Nutrition: Micronutrients","Питание: Микроэлементы"
buffANBMalnurishedName,buffs,buff,,,"Malnourished","Недоедание"
buffANBMalnurishedDesc,buffs,buff,,,"Your stamina recovery is reduced by 15%, due to a lack of basic nutrients.\n\nFind nutrition levels under character stats.","Восстановление выносливости уменьшено на 15% из-за недостатка питательных веществ.\n\nОбратите внимание на показатели питания в характеристиках персонажа."
buffANBHealthyName,buffs,buff,,,"Healthy","Здоров"
buffANBHealthyDesc,buffs,buff,,,"You are eating a well balanced diet.\n\nStamina is recovering 10% faster and you have slightly higher health and stamina potential.","Вы хорошо и правильно питаетесь.\n\nВыносливость восстанавливается на 10% быстрее, уровень выносливости и здоровья немного увеличен."
buffANBVeryHealthyName,buffs,buff,,,"Very Healthy","Очень здоров"
buffANBVeryHealthyDesc,buffs,buff,,,"You are eating a very balanced and healthy diet.  Stamina is recovering 15% faster\nand you have slightly higher health and\nstamina potential.\n\nIn addition, all healing is 25% more effective.","Ваше питание отлично сбалансировано. Выносливость восстанавливается на 15% быстрее, а её запас, как и здоровья - увеличен.\n\nКроме того, всё лечение на 25% эффективнее."
buffANBProteinHighName,buffs,buff,,,"Ripped","Неудержимость"
buffANBProteinHighDesc,buffs,buff,,,"High protein intake has made you monstrously\nstrong!\n\nYou do 15% more damage to enemies and blocks with melee weapons and bows.","Высокий показатель белков превращает вас в силача!\n\nВы наносите на 15% больше урона по врагам и блокам с помощью луков и ближнего боя."
buffANBCarbsHighANBName,buffs,buff,,,"Энергичность"
buffANBCarbsHighANBDesc,buffs,buff,,,"Hi carb intake has given you a surplus of\nenergy!\n\nYou run 15% faster than normal, and attack\n15% faster than normal.","Больше углеводов - больше энергии!\n\nВы двигаетесь и атакуете на 15% быстрее, чем обычно."
buffANBGreensHighANBName,buffs,buff,,,"Quick Thinking","Быстрые мозги"
buffANBGreensHighANBDesc,buffs,buff,,,"Lots of fruits and vegetables have kept your\nmind excessively sharp!\n\nYou gain experience 20% faster and dodge\n20% of incoming damage.","Множество фруктов и овощей заострили ваш мозг!\n\nВы получаете на 15% больше опыта и способны уклониться от 15% наносимого физического урона."
