Key,Source,Context,Changes,English,Russian
ammoTicket,item,,,Ammo Ticket,"Купон на боеприпасы"
ammoTicketDesc,item,,,Rewarded for successfully surviving the challenge.,Награда за успешное прохождение испытания
challenge1Zombie,item,,,Challenge 1,"Испытание 1 - Провинциальные девушки"
challenge1ZombieDesc,item,,,Challenge - Just A Small Town Girl. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Провинциальные девушки.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge2Zombie,item,,,Challenge 2,"Испытание 2 - Три бугая"
challenge2ZombieDesc,item,,,Challenge - The Three Stooges. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Три бугая.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge3Zombie,item,,,Challenge 3,"Испытание 3 - Он был скейтером"
challenge3ZombieDesc,item,,,Challenge - He Was A Skater Boy. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Он был скейтером.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge4Zombie,item,,,Challenge 4,"Испытание 4 - Девочки хотят развлечься"
challenge4ZombieDesc,item,,,Challenge - Girls Just Wanna Have Fun. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Девочки хотят развлечься.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge5Zombie,item,,,Challenge 5,"Испытание 5 - Работа из дома"
challenge5ZombieDesc,item,,,Challenge - Work From Home. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Работа из дома.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge6Zombie,item,,,Challenge 6,"Испытание 6 - Рождён дикарём"
challenge6ZombieDesc,item,,,Challenge - Born To Be Wild. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Рождён дикарём.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge7Zombie,item,,,Challenge 7,"Испытание 7 - Просто будь счастлив!"
challenge7ZombieDesc,item,,,Challenge - Don't Worry Be Happy. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Просто будь счастлив!\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge8Zombie,item,,,Challenge 8,"Испытание 8 - Прыгай, прыгай, прыгай!"
challenge8ZombieDesc,item,,,Challenge - Jump! Jump! Jump! Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Прыгай, прыгай, прыгай!\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge9Zombie,item,,,Challenge 9,"Испытание 9 - Взять все дела на себя"
